,Price,Price per m2,Rooms,Size M2,URL,Location
63,979 000 zł,7896 zł/m²,4 pokoje,123.99 m²,https://www.otodom.pl/pl/oferta/apartament-bezczynszowy-z-ogrodem-gryczane-wzgorze-ID4hmZW,"Kraków, Prądnik Biały, ul. Gryczana"
64,3 600 000 zł,18 000 zł/m²,6 pokoi,200 m²,https://www.otodom.pl/pl/oferta/przemyslany-200m2-dom-na-20a-krakow-swoszowice-ID4jyUZ,"Kraków, Swoszowice, ul. Szczawnicka"
65,1 920 000 zł,9979 zł/m²,5 pokoi,192.4 m²,https://www.otodom.pl/pl/oferta/krakow-tyniec-jacuzzi-swim-spa-ID4hwJK,"Kraków, Dębniki, Tyniec"
66,3 397 200 zł,14 900 zł/m²,4 pokoje,228 m²,https://www.otodom.pl/pl/oferta/wola-justowska-wille-kuznicza-228-m2-ID4dTyl,"Kraków, Zwierzyniec, Wola Justowska, ul. Kuźnicza"
67,3 337 600 zł,14 900 zł/m²,4 pokoje,224 m²,https://www.otodom.pl/pl/oferta/wola-justowska-wille-kuznicza-224m2-ID4dTD2,"Kraków, Zwierzyniec, Wola Justowska, ul. Kuźnicza"
68,2 369 100 zł,14 900 zł/m²,4 pokoje,159 m²,https://www.otodom.pl/pl/oferta/willa-premium-wola-justowska-1-5km-od-blon-ID4dTH5,"Kraków, Zwierzyniec, Wola Justowska, ul. Kuźnicza"
69,1 145 000 zł,7816 zł/m²,5 pokoi,146.5 m²,https://www.otodom.pl/pl/oferta/dom-krakow-ID4hj5g,"Kraków, Dębniki, tyniec"
70,820 000 zł,5942 zł/m²,5 pokoi,138 m²,https://www.otodom.pl/pl/oferta/dom-z-dzialka-krakow-ul-wyrwa-ID49F7W,"Kraków, Podgórze, Wyrwa"
71,1 200 000 zł,6667 zł/m²,5 pokoi,180 m²,https://www.otodom.pl/pl/oferta/krakow-wolnostojacy-dom-taras-energooszczedny-ID4hlJW,"Kraków, Dębniki, ul. Stępice"
72,990 000 zł,3694 zł/m²,5 pokoi,268 m²,https://www.otodom.pl/pl/oferta/dom-krakow-libertow-bezposrednio-bez-pcc-ID4hdo0,"Kraków, Swoszowice, Opatkowice"
73,1 099 000 zł,8389 zł/m²,5 pokoi,131 m²,https://www.otodom.pl/pl/oferta/kameralne-osiedle-krakowskie-ogrody-ID4jCq5,"Kraków, Dębniki, ul. Adama Prażmowskiego"
74,595 000 zł,4760 zł/m²,5 pokoi,125 m²,https://www.otodom.pl/pl/oferta/osiedle-alabastrowe-4-nowy-dom-krakow-tanio-ID3hsBV,"Kraków, Nowa Huta, ul.Tokarzewskiego"
