,Price,Price per m2,Rooms,Size M2,URL,Location
0,659 000 zł,5345 zł/m²,3 pokoje,123.3 m²,https://www.otodom.pl/pl/oferta/dom-blizniak-krakow-nowa-huta-koscielniki-ID4egkd,"Kraków, Nowa Huta, ul. Kościelnicka"
1,1 590 000 zł,12 137 zł/m²,6 pokoi,131 m²,https://www.otodom.pl/pl/oferta/ostatnie-segmenty-w-wyjatkowym-miejscu-lagiewniki-ID4jzpb,"Kraków, Łagiewniki-Borek Fałęcki, Łagiewniki, ul. Sucha"
2,549 000 zł,4256 zł/m²,4 pokoje,129 m²,https://www.otodom.pl/pl/oferta/nowy-dom-pod-krakowem-bezposrednio-ID4jDtc,"Biertowice, Kraków, małopolskie"
3,9 670 000 zł,19 979 zł/m²,5 pokoi,484 m²,https://www.otodom.pl/pl/oferta/luksusowa-willa-w-centrum-starego-podgorza-ID4jqql,"Kraków, Podgórze, Jana Zamoyskiego"
4,2 690 000 zł,15 936 zł/m²,5 pokoi,168.8 m²,https://www.otodom.pl/pl/oferta/fantastyczny-dom-w-krakowie-w-wysokim-standardzie-ID4jCie,"Kraków, Bieżanów-Prokocim, Ferdynanda Weigla"
5,879 000 zł,8924 zł/m²,4 pokoje,98.5 m²,https://www.otodom.pl/pl/oferta/na-sprzedaz-polowa-domu-98-5-mkw-ID4iUTz,"Kraków, Swoszowice, Chałubińskiego"
6,890 000 zł,12 714 zł/m²,2 pokoje,70 m²,https://www.otodom.pl/pl/oferta/dom-do-remontu-na-woli-duchackiej-na-dzialce-6-3a-ID4jkbc,"Kraków, Podgórze Duchackie, Aleksandra Kotsisa"
7,2 900 000 zł,13 267 zł/m²,8 pokoi,218.59 m²,https://www.otodom.pl/pl/oferta/nowoczesny-dom-krolowej-jadwigi-residence-218-m2-ID4iC24,"Kraków, Zwierzyniec, Wola Justowska, ul. Królowej Jadwigi"
8,830 000 zł,6928 zł/m²,4 pokoje,119.8 m²,https://www.otodom.pl/pl/oferta/dom-krakow-wzgorza-krzeslawickie-grebalow-830000-ID4i9Iz,"Kraków, Nowa Huta"
9,899 000 zł,6620 zł/m²,4 pokoje,135.8 m²,https://www.otodom.pl/pl/oferta/dom-krakow-wzgorza-krzeslawickie-grebalow-899000-ID4i9LC,"Kraków, Nowa Huta, Grębałów"
10,1 780 000 zł,7930 zł/m²,5 pokoi,224.45 m²,https://www.otodom.pl/pl/oferta/dom-bielany-ul-na-wirach-224m2-ID4gjLr,"Kraków, Zwierzyniec, Bielany, Na Wirach"
11,"2 900 000,74 zł",13 267 zł/m²,5 pokoi,218.59 m²,https://www.otodom.pl/pl/oferta/nowoczesny-dom-z-zielonym-tarasem-na-dachu-ID4jBDT,"Kraków, Zwierzyniec, Wola Justowska, Królowej Jadwigi"
12,1 390 000 zł,8323 zł/m²,5 pokoi,167 m²,https://www.otodom.pl/pl/oferta/gotowy-dom-wysoki-standard-nowoczesna-architektura-ID4jByq,"Kraków, Dębniki, Kliny-Zacisze, ul. prof. Bronisława Geremka"
